numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104409345,Renforcement de la reconnaissance de sites du CEN PACA et augmentation de la maîtrise foncière en forêt,CONSERVATOIRE D ESPACES NATURELS, 93 555.00,16376495,DREAL
2104410359,Mise en œuvre d’une action du Plan national d’actions en faveur du Puffin des Baléares sur le secteur ouest Cotentin / îles anglo-normandes,GROUPE ORNITHOLOGIQUE NORMAND, 265 183.00,13986728,DREAL
2104410926,OUTILS POUR LA PRISE EN COMPTE DES CHAUVES-SOURIS ET DE LA LOUTRE D’EUROPE,GROUPE MAMMALOGIQUE BRETON, 47 178.00,16404459,DREAL
2104411661,"Programme de caractérisation, d'identification et de protection des vieilles forêts de Nouvelle-Aquitaine 2024-2026",ASYMIX CONSERVATOIRE BOTANIQUE, 218 221.00,17084607,DREAL
2104413316,Prairies humides de Bourg,CONSERVATOIRE D'ESPACES NATURELS DE, 11 609.00,14559561,DREAL
2104413346,Restauration de l'accès au site chiroptères de l'île de la Marquise,INDRE NATURE, 29 330.00,17599175,DREAL
2104413347,"Projet de restauration de la Réserve naturelle régionale Terres et étangs de Brenne, Massé-Foucault",ASYMIX PNR BRENNE, 47 668.37,18123739,DREAL
2104413348,Restauration de queue d'étang en faveur du Cuivré des marais,ASS GEST RESERVE NAT CHERINE, 5 608.00,17185197,DREAL
2104413349,Utilisation d’approches de modélisation pour la conservation des cistudes d’Europe (Emys orbicularis) dans l’Indre,ASSOCIATION EPIMETHEE, 17 000.00,17572085,DREAL
2104413350,Poursuite de la réintroduction de la Tulipe des vignes dans les vignobles Tourangeaux et mise en place de la sauvegarde de l’Ornithogale penchée,VAL DE VIENNE, 22 752.00,18019483,DREAL
2104413608,Suivi des oiseaux marins au Cap Fréhel et mise en place d'une ZPF sur leurs sites de nidification,ASY MIX DES CAPS D'ERQUY ET FREHEL, 52 768.50,16510575,DREAL
2104413737,Qualifier et quantifier les interactions humaines avec le Gravelot à Collier Interrompu pour un meilleur partage de l'espace littoral,BRETAGNE VIVANTE SEPNB, 117 556.00,14436210,DREAL
2104413814,Tourbière du Grand Moulin - Donnezac,CONSERVATOIRE D'ESPACES NATURELS DE, 11 658.00,14560554,DREAL
2104414203,Réalisation de l'inventaire et de la cartographie des habitats naturels et des espèces végétales,ASYMIX BLAVET SCORFF ELLE ISOLE LAI, 124 480.70,14705084,DREAL
2104414311,Mise en oeuvre des documents de gestion des Réserves Naturelles Régionales - Année 2024,CONSERVATOIRE D ESPA, 37 113.22,17851133,DREAL
2104414404,BA 120 Cazaux,CONSERVATOIRE D'ESPACES NATURELS DE, 16 822.16,14557987,DREAL
2104414598,Protéger et restaurer les espaces naturels - Aires protégées en Indre-et-Loire,CONSERVATOIRE D ESPA, 150 087.57,17882869,DREAL
2104416113,Butte de Launay,CONSERVATOIRE D'ESPACES NATURELS DE, 10 872.52,14558687,DREAL
2104416376,Boisements et landes de Lassalle,CONSERVATOIRE D'ESPACES NATURELS DE, 9 010.46,14558390,DREAL
2104416384,Carrière de la Lustre,CONSERVATOIRE D'ESPACES NATURELS DE, 8 272.00,14560793,DREAL
2104416416,Coteaux de Pujols,CONSERVATOIRE D'ESPACES NATURELS DE, 13 107.32,14560339,DREAL
2104416473,Plan de gestion et cartographie d’habitats des Graves du Larus (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 6 756.00,14562122,DREAL
2104416623,Prairies humides de Castera (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 4 313.38,14557210,DREAL
2104416867,Préservation d’espèces à enjeu majeur sur la plaine alluviale de l’Ardèche : Pélobate cultripède et Azuré de la Sanguisorbe,CONSERVATOIRE RH ALP ESPACES, 5 000.00,16985509,DREAL
2104416893,Prairies de Gajac,CONSERVATOIRE D'ESPACES NATURELS DE, 3 765.00,14559834,DREAL
2104416903,Prairies humides de goulée,CONSERVATOIRE D'ESPACES NATURELS DE, 3 421.00,14560054,DREAL
2104417016,Vers une ostréiculture durable sur la Réserve naturelle nationale du Banc d’Arguin,SOC ETUDE PROTECTION AMENAGEMENT, 81 434.00,16671458,DREAL
2104419709,Mise en oeuvre des actions du 3ème Plan National d'Actions Chiroptères (PNAC),FEDERATION DES CONSERVATOIRES D, 91 123.00,16708337,DREAL
2104419713,Plan Régional d'Action Outarde canepetière,FEDERATION DEPARTEMENTALE DE, 20 123.00,17698074,DREAL
2104419755,Travaux de restauration et gestion de milieux à forte valeur environnementale (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 32 290.00,14564011,DREAL
2104419855,Création d'une unité de conservation de la flore menacée de Bourgogne Franche Comté,CONSERVATOIRE BOTANIQUE NATIONAL DE, ##########,18174617,DREAL
2104421604,"Diminution de la nuisance lumineuse - Restauration écologique du site de ponte des tortues marines de la plage de l'Union, Sainte Marie",SAINTE-MARIE, 78 569.15,17104006,DREAL
2104421922,Déclinaison régionale PNA papillons de jour,CONSERVATOIRE D'ESPACES NATURELS DE, 151 266.00,14678685,DREAL
